---
title: "Divine Love Messages — AI Index"
description: "A complete machine-readable index of all channeled Divine Love messages in this archive. Each entry includes title, spirit, medium, date, thematic collections, essential teachings flags, description, and the door — a single sentence distilling the transformative insight within the message."
last_updated: 2026-07-05
---

# Divine Love Messages — AI Index

This file is intended for AI systems and search engine crawlers.
For a human-friendly browse index, see content/browse.md.
For thematic collections, see content/collections/.
For essential teachings, see content/essential-teachings/.

---

| Message | Spirit | Medium | Date | Collections | Essential Teachings | Description | Door |
| [Guidance Concerning the Upcoming Retreat: Embrace All Who Are Coming](messages/2015/07/2015-07-06-af-augustine.md) | Augustine | Al Fike | 2015‑07‑06 | The Saints & Apostles Speak |  | Augustine prepares the group for an upcoming international retreat, urging them to drink deeply of God's Love and to embrace each soul who comes with openness and joy. He assures them that God will gift all who gather with a great opening of His Love, and encourages those further along the path to reach back and welcome those just beginning. | Every soul who comes to you is sent. Receive them accordingly |
| [How Your Soul Is Changed by the Love](messages/2015/07/2015-07-20-af-confucius.md) | Confucius | Al Fike | 2015‑07‑20 |  |  | Confucius describes the transformative power of God's Divine Love, which turns a mortal being into an immortal angel and opens the soul to ever-deepening communion with the Heavenly Father. He promises that those who seek this gift earnestly will one day look back and barely recognize their former selves, so profound is the change that Love brings. | Divine Love does not just comfort the soul. It fundamentally changes its nature |
| [A Grandmother's Love and Guidance from Spirit](messages/2015/07/2015-07-20-af-marjorie-fike.md) | Marjorie | Al Fike | 2015‑07‑20 |  |  | Marjorie, mother of the medium, speaks through her son to address her grandson, reassuring him that she and other relatives in spirit have been with him through his trials, that he is deeply loved, and that his path of Divine Love gives him an advantage she only found after passing. She calls him to open his eyes to the love and mentorship available to him, to pray to God when in need of strength, and to know that every choice for good brings its reward. | You create an oasis, a place of respite for all who wish to partake of this beautiful blessing and healing and peace |
| [Pray for the Children](messages/2015/07/2015-07-20-af-mary.md) | Mary, Mother of Jesus | Al Fike | 2015‑07‑20 | The Saints & Apostles Speak |  | Mary brings a blessing of Love to the gathered souls and all their children, urging them to pray that the next generation will have their eyes and ears opened to God's Love. She calls for prayer that children will be protected from evil, guided along their paths, and that the world may find harmony, peace, and wisdom through souls filled with the Father's Love. | The children of the world carry the seeds of the next generation of Light |
| [A Door Opens: Will You Enter through Its Threshold?](messages/2015/07/2015-07-21-af-augustine.md) | Augustine | Al Fike | 2015‑07‑21 | The Saints & Apostles Speak |  | Augustine prepares the group for their upcoming gathering, urging them to release preconceived notions and old soul encrustations so that God — not human orchestration — may direct the event. He promises that those who enter with sincere openness and loving desire will receive unique gifts, revelatory awarenesses, and a dawning Light that will change them irrevocably. | The door is already open. The only question is whether you will walk through it |
| [Be My Disciples. Walk This Path of Love Together](messages/2015/07/2015-07-21-af-jesus.md) | Jesus | Al Fike | 2015‑07‑21 | Jesus Speaks, Awakening Humanity | Core Teaching | Jesus calls the gathering to become his disciples in earnest, urging them to step fully through the door of Divine Love and release their old ways of being. He promises that as they do so, they will be guided clearly, protected by angels, and become a great light leading many souls to the truth of God's Love. | Jesus stands at the door and says you will lose nothing and gain everything; the only thing stopping you is the line you drew yourself. |
| [You Are Already Channels of God's Love](messages/2015/07/2015-07-25-af-andrew.md) | Andrew | Al Fike | 2015‑07‑25 | Service & Mission, The Saints & Apostles Speak |  | Andrew teaches that souls who pray and seek God are already channels of His Love, even when they cannot perceive it. He urges the gathering to release mental expectations and ego-driven desires for recognition, and instead walk humbly in love, trusting that God uses them in ways beyond what their minds can see. | You are already a channel of God's Love; the only thing standing between you and knowing it is the mind's need to see proof. |
| [Birthday Blessings for Al](messages/2015/07/2015-07-25-af-goldie.md) | Goldie | Al Fike | 2015‑07‑25 |  |  | Goldie offers a playful and warm birthday blessing for Al Fike, celebrating his soul's beauty and encouraging all gathered to embrace the joy, laughter, and lightness of heart that God wishes for every one of His children. | God counts the hairs on your head and loves every one of them; joy is not a reward for holiness, it is a gift for simply being His child. |
| [The Winds of Change Blow Upon This World](messages/2015/07/2015-07-25-af-john-the-beloved.md) | John the Beloved | Al Fike | 2015‑07‑25 | Awakening Humanity, The Saints & Apostles Speak | Prophecy | John the Beloved delivers a prophetic message declaring that God's Breath is blowing upon the world, bringing great change including climate shifts, rising oceans, and the crumbling of mountains. He calls the gathering to align with God's Will, open their souls to His Love, and be prepared to teach others the way through the coming tumult to peace and stability. | Mountains will crumble and oceans will rise, but God's hand is on the world; the only question is whether you will be aligned with Him when it happens. |
| [Guidance Regarding the Retreat That Is about to Take Place](messages/2015/07/2015-07-27-af-augustine.md) | Augustine | Al Fike | 2015‑07‑27 | The Saints & Apostles Speak |  | Augustine encourages the group as they finalize preparations for their upcoming retreat, urging them to lay down preconceptions and willful expectations and trust fully in God's plan. He assures them that God's Hand will bless every detail of the gathering and that a multitude of angels will be present, bringing a great Light and abundance of Divine Love to all who come. | What God prepares for a gathering of souls is far greater than what any one of them imagined |
| [Stand Up and Walk with Me](messages/2015/07/2015-07-27-af-jesus.md) | Jesus of Nazareth | Al Fike | 2015‑07‑27 |  |  | Jesus encourages his listeners with the tender image of a child learning to walk, assuring them that as they gain confidence and balance in God's Love they will soon run and sing with joy. He invites them to release their burdens, stand on their own two feet, and walk with him on the Path of Love. | Jesus is not a figure in a story. He is present, and he is asking you to walk with him now |
| [Release Those Conditions Within You That Hold You Back](messages/2015/08/2015-08-03-af-augustine.md) | Augustine | Al Fike | 2015‑08‑03 | The Saints & Apostles Speak |  | Augustine urges the group to release the worldly conditions that hold them back and to build the prayerful inner conditions needed for God to work powerfully through them as many souls come seeking. He assures them that releasing what no longer serves them is not a struggle but an acceptance, and that God's Love, harmony, and joy await them just a prayer away. | The conditions holding you back are not permanent. They are ready to be released |
